state,gender,age_group,population
Baden-Wuerttemberg,female,00-04,261674
Baden-Wuerttemberg,female,05-14,490822
Baden-Wuerttemberg,female,15-34,1293488
Baden-Wuerttemberg,female,35-59,1919649
Baden-Wuerttemberg,female,60-79,1182736
Baden-Wuerttemberg,female,80-99,419471
Baden-Wuerttemberg,male,00-04,274882
Baden-Wuerttemberg,male,05-14,517387
Baden-Wuerttemberg,male,15-34,1423367
Baden-Wuerttemberg,male,35-59,1955828
Baden-Wuerttemberg,male,60-79,1065669
Baden-Wuerttemberg,male,80-99,264560
Bayern,female,00-04,306378
Bayern,female,05-14,560549
Bayern,female,15-34,1507659
Bayern,female,35-59,2310659
Bayern,female,60-79,1421273
Bayern,female,80-99,486410
Bayern,male,00-04,321629
Bayern,male,05-14,590551
Bayern,male,15-34,1639500
Bayern,male,35-59,2348310
Bayern,male,60-79,1285577
Bayern,male,80-99,298226
Berlin,female,00-04,93990
Berlin,female,05-14,155021
Berlin,female,15-34,477479
Berlin,female,35-59,624365
Berlin,female,60-79,376311
Berlin,female,80-99,124859
Berlin,male,00-04,99098
Berlin,male,05-14,164059
Berlin,male,15-34,484613
Berlin,male,35-59,647312
Berlin,male,60-79,324051
Berlin,male,80-99,73668
Brandenburg,female,00-04,52945
Brandenburg,female,05-14,107304
Brandenburg,female,15-34,213065
Brandenburg,female,35-59,452866
Brandenburg,female,60-79,330498
Brandenburg,female,80-99,115779
Brandenburg,male,00-04,55847
Brandenburg,male,05-14,113614
Brandenburg,male,15-34,233079
Brandenburg,male,35-59,469114
Brandenburg,male,60-79,299105
Brandenburg,male,80-99,68701
Bremen,female,00-04,16202
Bremen,female,05-14,28300
Bremen,female,15-34,83990
Bremen,female,35-59,112849
Bremen,female,60-79,75673
Bremen,female,80-99,27937
Bremen,male,00-04,17380
Bremen,male,05-14,30195
Bremen,male,15-34,91939
Bremen,male,35-59,116674
Bremen,male,60-79,65941
Bremen,male,80-99,15906
Hamburg,female,00-04,48335
Hamburg,female,05-14,78127
Hamburg,female,15-34,246744
Hamburg,female,35-59,325303
Hamburg,female,60-79,175685
Hamburg,female,80-99,64937
Hamburg,male,00-04,50740
Hamburg,male,05-14,83421
Hamburg,male,15-34,248102
Hamburg,male,35-59,329427
Hamburg,male,60-79,152316
Hamburg,male,80-99,38042
Hessen,female,00-04,147570
Hessen,female,05-14,276229
Hessen,female,15-34,715254
Hessen,female,35-59,1111053
Hessen,female,60-79,686546
Hessen,female,80-99,236113
Hessen,male,00-04,154883
Hessen,male,05-14,291966
Hessen,male,15-34,767238
Hessen,male,35-59,1111560
Hessen,male,60-79,619773
Hessen,male,80-99,147624
Mecklenburg-Vorpommern,female,00-04,33432
Mecklenburg-Vorpommern,female,05-14,66830
Mecklenburg-Vorpommern,female,15-34,146826
Mecklenburg-Vorpommern,female,35-59,275036
Mecklenburg-Vorpommern,female,60-79,217304
Mecklenburg-Vorpommern,female,80-99,76608
Mecklenburg-Vorpommern,male,00-04,34712
Mecklenburg-Vorpommern,male,05-14,69911
Mecklenburg-Vorpommern,male,15-34,160846
Mecklenburg-Vorpommern,male,35-59,291204
Mecklenburg-Vorpommern,male,60-79,194352
Mecklenburg-Vorpommern,male,80-99,42614
Niedersachsen,female,00-04,180313
Niedersachsen,female,05-14,349011
Niedersachsen,female,15-34,875509
Niedersachsen,female,35-59,1392647
Niedersachsen,female,60-79,914560
Niedersachsen,female,80-99,327165
Niedersachsen,male,00-04,190079
Niedersachsen,male,05-14,369705
Niedersachsen,male,15-34,956570
Niedersachsen,male,35-59,1391992
Niedersachsen,male,60-79,835760
Niedersachsen,male,80-99,199137
Nordrhein-Westfalen,female,00-04,416584
Nordrhein-Westfalen,female,05-14,783214
Nordrhein-Westfalen,female,15-34,2047533
Nordrhein-Westfalen,female,35-59,3147565
Nordrhein-Westfalen,female,60-79,2009976
Nordrhein-Westfalen,female,80-99,729148
Nordrhein-Westfalen,male,00-04,440708
Nordrhein-Westfalen,male,05-14,832251
Nordrhein-Westfalen,male,15-34,2188068
Nordrhein-Westfalen,male,35-59,3127984
Nordrhein-Westfalen,male,60-79,1775275
Nordrhein-Westfalen,male,80-99,434345
Rheinland-Pfalz,female,00-04,91981
Rheinland-Pfalz,female,05-14,172136
Rheinland-Pfalz,female,15-34,448341
Rheinland-Pfalz,female,35-59,715783
Rheinland-Pfalz,female,60-79,472082
Rheinland-Pfalz,female,80-99,166945
Rheinland-Pfalz,male,00-04,97354
Rheinland-Pfalz,male,05-14,183597
Rheinland-Pfalz,male,15-34,484021
Rheinland-Pfalz,male,35-59,716037
Rheinland-Pfalz,male,60-79,434033
Rheinland-Pfalz,male,80-99,102534
Saarland,female,00-04,19857
Saarland,female,05-14,38101
Saarland,female,15-34,103235
Saarland,female,35-59,171839
Saarland,female,60-79,125537
Saarland,female,80-99,45781
Saarland,male,00-04,21008
Saarland,male,05-14,40909
Saarland,male,15-34,113059
Saarland,male,35-59,170715
Saarland,male,60-79,113553
Saarland,male,80-99,26915
Sachsen,female,00-04,91103
Sachsen,female,05-14,172239
Sachsen,female,15-34,386154
Sachsen,female,35-59,658461
Sachsen,female,60-79,549790
Sachsen,female,80-99,210571
Sachsen,male,00-04,95946
Sachsen,male,05-14,181875
Sachsen,male,15-34,425911
Sachsen,male,35-59,710935
Sachsen,male,60-79,475330
Sachsen,male,80-99,119622
Sachsen-Anhalt,female,00-04,44389
Sachsen-Anhalt,female,05-14,87045
Sachsen-Anhalt,female,15-34,193271
Sachsen-Anhalt,female,35-59,370585
Sachsen-Anhalt,female,60-79,314851
Sachsen-Anhalt,female,80-99,111501
Sachsen-Anhalt,male,00-04,46757
Sachsen-Anhalt,male,05-14,92088
Sachsen-Anhalt,male,15-34,218628
Sachsen-Anhalt,male,35-59,395018
Sachsen-Anhalt,male,60-79,273670
Sachsen-Anhalt,male,80-99,60518
Schleswig-Holstein,female,00-04,62645
Schleswig-Holstein,female,05-14,125442
Schleswig-Holstein,female,15-34,305125
Schleswig-Holstein,female,35-59,517809
Schleswig-Holstein,female,60-79,346908
Schleswig-Holstein,female,80-99,119326
Schleswig-Holstein,male,00-04,65709
Schleswig-Holstein,male,05-14,132531
Schleswig-Holstein,male,15-34,328234
Schleswig-Holstein,male,35-59,505456
Schleswig-Holstein,male,60-79,312262
Schleswig-Holstein,male,80-99,75265
Thueringen,female,00-04,44902
Thueringen,female,05-14,87443
Thueringen,female,15-34,191712
Thueringen,female,35-59,358982
Thueringen,female,60-79,297754
Thueringen,female,80-99,101538
Thueringen,male,00-04,47365
Thueringen,male,05-14,92545
Thueringen,male,15-34,214553
Thueringen,male,35-59,384822
Thueringen,male,60-79,264189
Thueringen,male,80-99,57340
